"Date","Transaction","Name","Memo","Amount"
"6/14/2018","DEBIT","DEBIT PURCHASE -VISA STEAMGAMES.COM 4425-8899642 WA","Download from usbank.com. STEAMGAMES.COM 4425-8899642 WA","-9.9900"
"6/18/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-44.6400"
"6/25/2018","DEBIT","DEBIT PURCHASE -VISA STEAMGAMES.COM  425-889-9642WA","Download from usbank.com. STEAMGAMES.COM  425-889-9642WA","-9.9900"
"7/2/2018","CREDIT","ELECTRONIC DEPOSIT GENERAL","Download from usbank.com. GENERAL","247.7400"
"7/2/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-39.8900"
"7/5/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","311.5300"
"7/5/2018","DEBIT","DEBIT PURCHASE -VISA AIRBNB * HM5EPZK415-800-5959CA","Download from usbank.com. AIRBNB * HM5EPZK415-800-5959CA","-50.8900"
"7/6/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-46.1300"
"7/9/2018","DEBIT","DEBIT PURCHASE -VISA SPEEDWAY 01020 1CROWN POINT IN","Download from usbank.com. SPEEDWAY 01020 1CROWN POINT IN","-36.9500"
"7/10/2018","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-30.0000"
"7/12/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","249.2000"
"7/16/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-47.1700"
"7/19/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","319.7900"
"7/23/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-38.7500"
"7/26/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","330.0900"
"7/30/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-37.6200"
"8/2/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","309.4700"
"8/10/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","129.6700"
"8/13/2018","DEBIT","DEBIT PURCHASE -VISA COSTCO GAS #0379SPRINGDALE  OH","Download from usbank.com. COSTCO GAS #0379SPRINGDALE  OH","-40.8100"
"8/16/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","297.0000"
"8/22/2018","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARCINCINNATI  OH","Download from usbank.com. UNITED DAIRY FARCINCINNATI  OH","-36.6900"
"8/23/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","278.3100"
"8/30/2018","DEBIT","DEBIT PURCHASE -VISA THORNTONS #0551 SHARONVILLE OH","Download from usbank.com. THORNTONS #0551 SHARONVILLE OH","-37.9400"
"8/31/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","253.3600"
"9/4/2018","DEBIT","DEBIT PURCHASE -VISA PANERA BREAD #20WEST CHESTEROH","Download from usbank.com. PANERA BREAD #20WEST CHESTEROH","-16.6000"
"9/7/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","317.7200"
"9/10/2018","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARCINCINNATI  OH","Download from usbank.com. UNITED DAIRY FARCINCINNATI  OH","-40.3500"
"9/10/2018","DEBIT","DEBIT PURCHASE -VISA MICRO CENTER SHASHARONVILLE OH","Download from usbank.com. MICRO CENTER SHASHARONVILLE OH","-8.5500"
"9/13/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","259.5900"
"9/13/2018","CREDIT","DEPOSIT ","Download from usbank.com. ","360.5000"
"9/18/2018","DEBIT","DEBIT PURCHASE -VISA SUNOCO 068065330CINCINNATI  OH","Download from usbank.com. SUNOCO 068065330CINCINNATI  OH","-19.8200"
"9/20/2018","CREDIT","ELECTRONIC DEPOSIT SNYDER CONCRETE","Download from usbank.com. SNYDER CONCRETE","321.8400"
"9/20/2018","DEBIT","DEBIT PURCHASE TARGET T- 301 StTukwila     WA","Download from usbank.com. TARGET T- 301 StTukwila     WA","-115.4200"
"9/24/2018","DEBIT","DEBIT PURCHASE -VISA TARGET.COM  *   800-591-3869MN","Download from usbank.com. TARGET.COM  *   800-591-3869MN","-143.1200"
"9/24/2018","DEBIT","DEBIT PURCHASE -VISA U BOOK STORE-U DSEATTLE     WA","Download from usbank.com. U BOOK STORE-U DSEATTLE     WA","-24.9900"
"9/24/2018","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-6.5000"
"9/24/2018","DEBIT","DEBIT PURCHASE -VISA SQ *MA'ONO FRIEDSEATTLE     WA","Download from usbank.com. SQ *MA'ONO FRIEDSEATTLE     WA","-25.3200"
"9/25/2018","DEBIT","DEBIT PURCHASE -VISA DELFINOS CHICAGOSEATTLE     WA","Download from usbank.com. DELFINOS CHICAGOSEATTLE     WA","-14.6900"
"9/25/2018","DEBIT","DEBIT PURCHASE -VISA SQ *MOLLY MOON'SSEATTLE     WA","Download from usbank.com. SQ *MOLLY MOON'SSEATTLE     WA","-8.3300"
"10/1/2018","DEBIT","DEBIT PURCHASE -VISA VEGGIE GRILL UVLSEATTLE     WA","Download from usbank.com. VEGGIE GRILL UVLSEATTLE     WA","-12.0600"
"10/1/2018","DEBIT","DEBIT PURCHASE -VISA VEGGIE GRILL UVLSEATTLE     WA","Download from usbank.com. VEGGIE GRILL UVLSEATTLE     WA","-12.0600"
"10/1/2018","DEBIT","DEBIT PURCHASE -VISA SQ *MOLLY MOON'SSEATTLE     WA","Download from usbank.com. SQ *MOLLY MOON'SSEATTLE     WA","-7.3300"
"10/2/2018","DEBIT","DEBIT PURCHASE -VISA RAMS COPY CENTERSEATTLE     WA","Download from usbank.com. RAMS COPY CENTERSEATTLE     WA","-22.0000"
"10/9/2018","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-5.0000"
"10/9/2018","DEBIT","DEBIT PURCHASE -VISA RAM RESTAURANT  SEATTLE     WA","Download from usbank.com. RAM RESTAURANT  SEATTLE     WA","-18.3800"
"10/9/2018","DEBIT","DEBIT PURCHASE -VISA USA*CANTEEN VENDEVERETT     WA","Download from usbank.com. USA*CANTEEN VENDEVERETT     WA","-1.6000"
"10/10/2018","CREDIT","DEPOSIT ","Download from usbank.com. ","200.0000"
"10/15/2018","DEBIT","DEBIT PURCHASE -VISA EUREKA! SEATTLE SEATTLE     WA","Download from usbank.com. EUREKA! SEATTLE SEATTLE     WA","-14.3100"
"10/15/2018","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-23.6900"
"10/16/2018","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-3.5000"
"10/22/2018","DEBIT","DEBIT PURCHASE -VISA CHIPOTLE 2574   SEATTLE     WA","Download from usbank.com. CHIPOTLE 2574   SEATTLE     WA","-7.7100"
"10/30/2018","DEBIT","DEBIT PURCHASE -VISA SPIRIT HALLOWEENBELLEVUE    WA","Download from usbank.com. SPIRIT HALLOWEENBELLEVUE    WA","-27.5000"
"11/7/2018","DEBIT","DEBIT PURCHASE J. CREW #639    SEATTLE     WA","Download from usbank.com. J. CREW #639    SEATTLE     WA","-76.5200"
"11/7/2018","DEBIT","DEBIT PURCHASE J. CREW #639    SEATTLE     WA","Download from usbank.com. J. CREW #639    SEATTLE     WA","-7.7000"
"11/9/2018","DEBIT","DEBIT PURCHASE -VISA UW HFS HUSKY CAR206-5437222 WA","Download from usbank.com. UW HFS HUSKY CAR206-5437222 WA","-30.0000"
"11/19/2018","DEBIT","DEBIT PURCHASE -VISA SQ *JUST BURGERSSEATTLE     WA","Download from usbank.com. SQ *JUST BURGERSSEATTLE     WA","-17.1500"
"11/19/2018","DEBIT","DEBIT PURCHASE -VISA TST* EVEN STEVENSEATTLE     WA","Download from usbank.com. TST* EVEN STEVENSEATTLE     WA","-8.1500"
"11/19/2018","DEBIT","DEBIT PURCHASE H&M0158         SEATTLE     WA","Download from usbank.com. H&M0158         SEATTLE     WA","-38.5400"
"11/19/2018","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1697SEATTLE     WA","Download from usbank.com. MCDONALD'S F1697SEATTLE     WA","-11.1900"
"11/20/2018","DEBIT","DEBIT PURCHASE -VISA Steamgames.com42425-9522985 WA","Download from usbank.com. Steamgames.com42425-9522985 WA","-14.9700"
"11/23/2018","DEBIT","DEBIT PURCHASE -VISA SOUND TRANSIT - SEATTLE     WA","Download from usbank.com. SOUND TRANSIT - SEATTLE     WA","-1.5000"
"11/23/2018","DEBIT","DEBIT PURCHASE -VISA SBARRO'S B CONC SEATTLE     WA","Download from usbank.com. SBARRO'S B CONC SEATTLE     WA","-8.6200"
"12/3/2018","DEBIT","DEBIT PURCHASE -VISA EINSTEIN BROS BASEATTLE     WA","Download from usbank.com. EINSTEIN BROS BASEATTLE     WA","-6.5800"
"12/17/2018","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1697SEATTLE     WA","Download from usbank.com. MCDONALD'S F1697SEATTLE     WA","-3.2900"
"12/17/2018","DEBIT","DEBIT PURCHASE -VISA SEA PEET'S COFFESEATTLE     WA","Download from usbank.com. SEA PEET'S COFFESEATTLE     WA","-6.5800"
"12/18/2018","DEBIT","DEBIT PURCHASE -VISA DSW ROOKWOOD COMCINCINNATI  OH","Download from usbank.com. DSW ROOKWOOD COMCINCINNATI  OH","-21.3800"
"12/20/2018","DEBIT","DEBIT PURCHASE WALGREENS STORE CINCINNATI  OH","Download from usbank.com. WALGREENS STORE CINCINNATI  OH","-22.4600"
"12/21/2018","DEBIT","DEBIT PURCHASE TARGET T- 900 E Springdale  OH","Download from usbank.com. TARGET T- 900 E Springdale  OH","-22.9700"
"12/21/2018","DEBIT","DEBIT PURCHASE TARGET T- 900 E Springdale  OH","Download from usbank.com. TARGET T- 900 E Springdale  OH","-17.1100"
"12/26/2018","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","100.0000"
"12/31/2018","DEBIT","DEBIT PURCHASE -VISA BUFFALO WILD WINCINCINNATI  OH","Download from usbank.com. BUFFALO WILD WINCINCINNATI  OH","-8.8700"
"12/31/2018","DEBIT","DEBIT PURCHASE -VISA GRAETERS12      CINCINNATI  OH","Download from usbank.com. GRAETERS12      CINCINNATI  OH","-5.7500"
"12/31/2018","DEBIT","DEBIT PURCHASE TARGET T- 900 E Springdale  OH","Download from usbank.com. TARGET T- 900 E Springdale  OH","-29.6500"
"1/7/2019","CREDIT","DEPOSIT ","Download from usbank.com. ","160.0000"
"1/7/2019","DEBIT","DEBIT PURCHASE -VISA JUICE PRESS JPWASEATTLE     WA","Download from usbank.com. JUICE PRESS JPWASEATTLE     WA","-12.6600"
"1/8/2019","DEBIT","DEBIT PURCHASE -VISA CHIPOTLE 0578   SEATTLE     WA","Download from usbank.com. CHIPOTLE 0578   SEATTLE     WA","-4.4600"
"1/14/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-13.9800"
"2/6/2019","CREDIT","ELECTRONIC DEPOSIT IRS  TREAS 310","Download from usbank.com. IRS  TREAS 310","361.0000"
"2/7/2019","CREDIT","ELECTRONIC DEPOSIT STATE OF OHIO","Download from usbank.com. STATE OF OHIO","67.0000"
"2/19/2019","DEBIT","DEBIT PURCHASE - VISA CHEGG  ORDER    844-224-5952CA","Download from usbank.com. CHEGG  ORDER    844-224-5952CA","-0.0400"
"3/1/2019","DEBIT","DEBIT PURCHASE - VISA Amazon Prime    Amzn.com/bilWA","Download from usbank.com. Amazon Prime    Amzn.com/bilWA","-6.9400"
"3/4/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-12.7000"
"3/7/2019","DEBIT","DEBIT PURCHASE -VISA UW HFS HUSKY CAR206-5437222 WA","Download from usbank.com. UW HFS HUSKY CAR206-5437222 WA","-30.0000"
"3/14/2019","DEBIT","DEBIT PURCHASE -VISA DANNER-LACROSSE 877-432-6637OR","Download from usbank.com. DANNER-LACROSSE 877-432-6637OR","-11.0100"
"3/14/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-18.6900"
"3/15/2019","DEBIT","DEBIT PURCHASE - VISA CHEGG  ORDER    844-224-5952CA","Download from usbank.com. CHEGG  ORDER    844-224-5952CA","-16.0000"
"3/21/2019","DEBIT","DEBIT PURCHASE -VISA CHIPOTLE 0578   SEATTLE     WA","Download from usbank.com. CHIPOTLE 0578   SEATTLE     WA","-7.9800"
"3/22/2019","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1697SEATTLE     WA","Download from usbank.com. MCDONALD'S F1697SEATTLE     WA","-3.5100"
"3/25/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-13.6600"
"3/27/2019","DEBIT","DEBIT PURCHASE - VISA Amazon Prime    Amzn.com/bilWA","Download from usbank.com. Amazon Prime    Amzn.com/bilWA","-6.9400"
"4/1/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-10.5000"
"4/1/2019","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4308SEATTLE     WA","Download from usbank.com. MCDONALD'S F4308SEATTLE     WA","-3.6200"
"4/12/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-35.0000"
"4/15/2019","DEBIT","DEBIT PURCHASE - VISA CHEGG  ORDER    844-224-5952CA","Download from usbank.com. CHEGG  ORDER    844-224-5952CA","-16.0000"
"4/22/2019","DEBIT","DEBIT PURCHASE -VISA SQ *CREW CUP COFBELLEVUE    WA","Download from usbank.com. SQ *CREW CUP COFBELLEVUE    WA","-2.5000"
"4/25/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-720.8000"
"4/25/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-311.0000"
"4/29/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-15.9700"
"4/29/2019","DEBIT","DEBIT PURCHASE - VISA Amazon Prime    Amzn.com/bilWA","Download from usbank.com. Amazon Prime    Amzn.com/bilWA","-6.9400"
"4/30/2019","CREDIT","DEBIT PURCHASE RET - VISA Amazon Prime    Amzn.com/bilWA","Download from usbank.com. Amazon Prime    Amzn.com/bilWA","6.9400"
"5/2/2019","DEBIT","DEBIT PURCHASE -VISA FIVE GUYS WA 102SEATTLE     WA","Download from usbank.com. FIVE GUYS WA 102SEATTLE     WA","-9.0100"
"5/13/2019","DEBIT","DEBIT PURCHASE -VISA 14 CARROT CAFE  SEATTLE     WA","Download from usbank.com. 14 CARROT CAFE  SEATTLE     WA","-10.9000"
"5/15/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-13.8500"
"5/15/2019","DEBIT","DEBIT PURCHASE - VISA CHEGG  ORDER    844-224-5952CA","Download from usbank.com. CHEGG  ORDER    844-224-5952CA","-16.0000"
"6/3/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-10.0000"
"6/3/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-4.0000"
"6/3/2019","DEBIT","DEBIT PURCHASE -VISA KING COUNTY WATESEATTLE     WA","Download from usbank.com. KING COUNTY WATESEATTLE     WA","-5.0000"
"6/4/2019","DEBIT","DEBIT PURCHASE -VISA VENMO           855-812-4430NY","Download from usbank.com. VENMO           855-812-4430NY","-10.0000"
"6/11/2019","DEBIT","DEBIT PURCHASE THE HOME DEPOT #SEATTLE     WA","Download from usbank.com. THE HOME DEPOT #SEATTLE     WA","-22.0000"
"6/12/2019","DEBIT","DEBIT PURCHASE -VISA UW HFS HUSKY CAR206-5437222 WA","Download from usbank.com. UW HFS HUSKY CAR206-5437222 WA","-7.0000"
"6/17/2019","DEBIT","DEBIT PURCHASE -VISA CHIPOTLE 0578   SEATTLE     WA","Download from usbank.com. CHIPOTLE 0578   SEATTLE     WA","-7.9800"
"6/17/2019","DEBIT","DEBIT PURCHASE -VISA SKYLINE CHILI 10CINCINNATI  OH","Download from usbank.com. SKYLINE CHILI 10CINCINNATI  OH","-7.4800"
"6/19/2019","DEBIT","WEB AUTHORIZED PMT CINCINNATI ROWIN","Download from usbank.com. CINCINNATI ROWIN","-100.0000"
"6/24/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","100.0000"
"6/24/2019","DEBIT","DEBIT PURCHASE -VISA REGATTACENTRAL  614-360-2922OH","Download from usbank.com. REGATTACENTRAL  614-360-2922OH","-192.0000"
"6/26/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARGLENDALE    OH","Download from usbank.com. UNITED DAIRY FARGLENDALE    OH","-33.6500"
"7/2/2019","DEBIT","DEBIT PURCHASE -VISA US ROWING ASSOCIPRINCETON   NJ","Download from usbank.com. US ROWING ASSOCIPRINCETON   NJ","-25.2500"
"7/8/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARGLENDALE    OH","Download from usbank.com. UNITED DAIRY FARGLENDALE    OH","-44.5600"
"7/11/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","49.7200"
"7/12/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARAMELIA      OH","Download from usbank.com. UNITED DAIRY FARAMELIA      OH","-37.8700"
"7/15/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","250.0000"
"7/15/2019","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #446AMELIA      OH","Download from usbank.com. KROGER FUEL #446AMELIA      OH","-44.4300"
"7/18/2019","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-36.2000"
"7/22/2019","DEBIT","DEBIT PURCHASE -VISA BRUEGGERS #3851 CINCINNATI  OH","Download from usbank.com. BRUEGGERS #3851 CINCINNATI  OH","-6.5800"
"7/23/2019","CREDIT","ELECTRONIC DEPOSIT DoorDash Inc.","Download from usbank.com. DoorDash Inc.","31.8400"
"7/26/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","235.0000"
"7/29/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","86.3300"
"7/29/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARGLENDALE    OH","Download from usbank.com. UNITED DAIRY FARGLENDALE    OH","-15.0800"
"8/12/2019","DEBIT","DEBIT PURCHASE -VISA NAME-CHEAP.COM  WWW.NAMECHEAAZ","Download from usbank.com. NAME-CHEAP.COM  WWW.NAMECHEAAZ","-9.0600"
"8/15/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","75.3100"
"8/19/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARGLENDALE    OH","Download from usbank.com. UNITED DAIRY FARGLENDALE    OH","-19.8900"
"8/26/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARGLENDALE    OH","Download from usbank.com. UNITED DAIRY FARGLENDALE    OH","-30.1700"
"8/27/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","500.0000"
"8/27/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","77.5100"
"8/29/2019","DEBIT","DEBIT PURCHASE COSTCO WHSE #037SPRINGDALE  OH","Download from usbank.com. COSTCO WHSE #037SPRINGDALE  OH","-5.3400"
"8/29/2019","DEBIT","DEBIT PURCHASE COSTCO GAS #0379SPRINGDALE  OH","Download from usbank.com. COSTCO GAS #0379SPRINGDALE  OH","-20.1700"
"9/3/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-620.0000"
"9/3/2019","DEBIT","DEBIT PURCHASE TARGET T- 400 CoSouth LebanoOH","Download from usbank.com. TARGET T- 400 CoSouth LebanoOH","-156.1600"
"9/3/2019","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-42.5100"
"9/4/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","79.0300"
"9/5/2019","CREDIT","DEPOSIT ","Download from usbank.com. ","7046.6900"
"9/5/2019","DEBIT","DEBIT PURCHASE KROGER #3 7300 YLIBERTY TOWNOH","Download from usbank.com. KROGER #3 7300 YLIBERTY TOWNOH","-3.9900"
"9/6/2019","CREDIT","DEBIT PURCHASE RETURN TARGET T- 900 E Springdale  OH","Download from usbank.com. TARGET T- 900 E Springdale  OH","16.0400"
"9/9/2019","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com. VENMO","800.0000"
"9/9/2019","CREDIT","MOBILE CHECK DEPOSIT ","Download from usbank.com. ","97.9600"
"9/9/2019","DEBIT","DEBIT PURCHASE -VISA UNITED DAIRY FARGLENDALE    OH","Download from usbank.com. UNITED DAIRY FARGLENDALE    OH","-25.1100"
"9/9/2019","DEBIT","DEBIT PURCHASE -VISA SOUND TRANSIT - SEATTLE     WA","Download from usbank.com. SOUND TRANSIT - SEATTLE     WA","-3.2500"
"9/10/2019","CREDIT","DEPOSIT ","Download from usbank.com. ","100.0000"
